Matricule;Annee;Mois;Code;Libelle;Type;Montant;indic_astr;indic_IHTS
302060;2013;4;1900;HEURES SUPPL.  = 14 H;R;59,7;FALSE;TRUE
302060;2013;4;1920;HEURES SUPPL. DIMANCHE JF;R;19,91;FALSE;TRUE
302060;2013;4;401B;INDEMNITES D ASTREINTES            M.S;R;17,43;TRUE;FALSE
302060;2013;4;4040;IND. ASTREINTE SEM. FIL TECH.;R;149,48;TRUE;FALSE
302060;2013;4;4075;IND ASTR NUIT SEM FRACTIONNEE;R;12,12;TRUE;FALSE
302060;2013;7;1900;HEURES SUPPL.  = 14 H;R;23,88;FALSE;TRUE
302060;2013;7;1920;HEURES SUPPL. DIMANCHE JF;R;39,82;FALSE;TRUE
302060;2013;7;1930;HEURES SUPPL. DE NUIT;R;35,84;FALSE;TRUE
302060;2013;7;401B;INDEMNITES D ASTREINTES            M.S;R;17,43;TRUE;FALSE
302060;2013;7;4040;IND. ASTREINTE SEM. FIL TECH.;R;149,48;TRUE;FALSE
302060;2013;10;1900;HEURES SUPPL.  = 14 H;R;23,88;FALSE;TRUE
302060;2013;10;1920;HEURES SUPPL. DIMANCHE JF;R;59,73;FALSE;TRUE
302060;2013;10;401B;INDEMNITES D ASTREINTES            M.S;R;17,43;TRUE;FALSE
302060;2013;10;4040;IND. ASTREINTE SEM. FIL TECH.;R;149,48;TRUE;FALSE
302060;2013;12;1900;HEURES SUPPL.  = 14 H;R;47,76;FALSE;TRUE
302060;2013;12;1930;HEURES SUPPL. DE NUIT;R;47,78;FALSE;TRUE
302060;2013;12;401B;INDEMNITES D ASTREINTES            M.S;R;17,43;TRUE;FALSE
302060;2013;12;4040;IND. ASTREINTE SEM. FIL TECH.;R;149,48;TRUE;FALSE
302060;2013;12;4050;IND. ASTREINTE NUIT SEMAINE;R;20,1;TRUE;FALSE
302233;2013;2;1900;HEURES SUPPL.  = 14 H;R;64,5;FALSE;TRUE
302233;2013;2;4050;IND. ASTREINTE NUIT SEMAINE;R;15,08;TRUE;FALSE
302233;2013;3;1900;HEURES SUPPL.  = 14 H;R;25,8;FALSE;TRUE
302233;2013;3;1930;HEURES SUPPL. DE NUIT;R;25,8;FALSE;TRUE
302233;2013;3;4050;IND. ASTREINTE NUIT SEMAINE;R;45,23;TRUE;FALSE
302528;2013;11;1900;HEURES SUPPL.  = 14 H;R;165,06;FALSE;TRUE
302528;2013;11;1920;HEURES SUPPL. DIMANCHE JF;R;98,25;FALSE;TRUE
302528;2013;11;1930;HEURES SUPPL. DE NUIT;R;106,11;FALSE;TRUE
302528;2013;11;401B;INDEMNITES D ASTREINTES            M.S;R;17,43;TRUE;FALSE
302528;2013;11;4040;IND. ASTREINTE SEM. FIL TECH.;R;149,48;TRUE;FALSE
302528;2013;12;1900;HEURES SUPPL.  = 14 H;R;41,27;FALSE;TRUE
302528;2013;12;401B;INDEMNITES D ASTREINTES            M.S;R;17,43;TRUE;FALSE
302528;2013;12;4090;INDEMNITE D ASTREINTE WEEK-END;R;109,28;TRUE;FALSE
