Année 2012 | Mois 03 | Matricule   0245 | Rang global    115 | Rang dans fichier   115 | Analyseur C : N.ligne     24 | Xml : N.ligne     24 | Différence    0
Année 2012 | Mois 03 | Matricule   5015 | Rang global    116 | Rang dans fichier   116 | Analyseur C : N.ligne     22 | Xml : N.ligne     22 | Différence    0
Année 2012 | Mois 03 | Matricule   9031 | Rang global    117 | Rang dans fichier   117 | Analyseur C : N.ligne     14 | Xml : N.ligne     14 | Différence    0
Année 2012 | Mois 03 | Matricule   0571 | Rang global    118 | Rang dans fichier   118 | Analyseur C : N.ligne     25 | Xml : N.ligne     25 | Différence    0
Année 2012 | Mois 03 | Matricule   0575 | Rang global    119 | Rang dans fichier   119 | Analyseur C : N.ligne     24 | Xml : N.ligne     24 | Différence    0
Année 2012 | Mois 03 | Matricule   7034 | Rang global    120 | Rang dans fichier   120 | Analyseur C : N.ligne     24 | Xml : N.ligne     24 | Différence    0
Année 2012 | Mois 03 | Matricule   0570 | Rang global    121 | Rang dans fichier   121 | Analyseur C : N.ligne     28 | Xml : N.ligne     28 | Différence    0
Année 2012 | Mois 03 | Matricule   0124 | Rang global    122 | Rang dans fichier   122 | Analyseur C : N.ligne     29 | Xml : N.ligne     29 | Différence    0
Année 2012 | Mois 03 | Matricule   0402 | Rang global    123 | Rang dans fichier   123 | Analyseur C : N.ligne     21 | Xml : N.ligne     21 | Différence    0
Année 2012 | Mois 03 | Matricule   0247 | Rang global    124 | Rang dans fichier   124 | Analyseur C : N.ligne     25 | Xml : N.ligne     25 | Différence    0
Année 2012 | Mois 03 | Matricule   3133 | Rang global    125 | Rang dans fichier   125 | Analyseur C : N.ligne     24 | Xml : N.ligne     24 | Différence    0
Année 2012 | Mois 03 | Matricule   0126 | Rang global    126 | Rang dans fichier   126 | Analyseur C : N.ligne     23 | Xml : N.ligne     23 | Différence    0
Année 2012 | Mois 03 | Matricule   0128 | Rang global    127 | Rang dans fichier   127 | Analyseur C : N.ligne     32 | Xml : N.ligne     32 | Différence    0
Année 2012 | Mois 03 | Matricule   9627 | Rang global    128 | Rang dans fichier   128 | Analyseur C : N.ligne     30 | Xml : N.ligne     30 | Différence    0
Année 2012 | Mois 03 | Matricule   0579 | Rang global    129 | Rang dans fichier   129 | Analyseur C : N.ligne     27 | Xml : N.ligne     27 | Différence    0
