Loading http://mirrors.ibiblio.org/pub/mirrors/CTAN/systems/texlive/tlnet/tlpkg/texlive.tlpdb
Installing TeX Live 2014 from: http://mirrors.ibiblio.org/pub/mirrors/CTAN/systems/texlive/tlnet
Platform: win32 => 'Windows'
Distribution: net  (downloading)
Using URL: http://mirrors.ibiblio.org/pub/mirrors/CTAN/systems/texlive/tlnet
Directory for temporary files: C:/Users/fnicol/AppData/Local/Temp
Installer revision: 36087
Database revision: 36203
Installing [001/842, time/total: ??:??/??:??]: 12many [3k]
Installing [169/842, time/total: 04:26/09:16]: context-fixme [4k]
Installing [170/842, time/total: 04:26/09:16]: context-french [2k]
Installing [171/842, time/total: 04:27/09:18]: context-fullpage [3k]
Installing [172/842, time/total: 04:28/09:20]: context-games [13k]
Installing [173/842, time/total: 04:29/09:22]: context-gantt [5k]
Installing [174/842, time/total: 04:29/09:22]: context-gnuplot [19k]
Installing [175/842, time/total: 04:29/09:22]: context-letter [27k]
Installing [176/842, time/total: 04:30/09:23]: context-lettrine [3k]
Installing [177/842, time/total: 04:30/09:23]: context-lilypond [6k]
Installing [178/842, time/total: 04:31/09:25]: context-mathsets [5k]
Installing [179/842, time/total: 04:31/09:25]: context-notes-zh-cn [1k]
Installing [180/842, time/total: 04:32/09:28]: context-rst [31k]
Installing [181/842, time/total: 04:32/09:27]: context-ruby [5k]
Installing [182/842, time/total: 04:32/09:27]: context-simplefonts [8k]
Installing [183/842, time/total: 04:33/09:29]: context-simpleslides [29k]
Installing [184/842, time/total: 04:33/09:29]: context-title [2k]
Installing [185/842, time/total: 04:34/09:31]: context-transliterator [70k]
Installing [186/842, time/total: 04:35/09:33]: context-typearea [2k]
Installing [187/842, time/total: 04:35/09:33]: context-typescripts [10k]
Installing [188/842, time/total: 04:35/09:33]: context-vim [9k]
Installing [189/842, time/total: 04:36/09:35]: context-visualcounter [4k]
Installing [190/842, time/total: 04:36/09:35]: context.win32 [95k]
Installing [191/842, time/total: 04:37/09:36]: courier [470k]
Installing [192/842, time/total: 04:38/09:35]: crop [5k]
Installing [193/842, time/total: 04:38/09:35]: cs [1757k]
Installing [194/842, time/total: 04:42/09:31]: csbulletin [7k]
Installing [195/842, time/total: 04:42/09:31]: cslatex [13k]
Installing [196/842, time/total: 04:43/09:33]: cslatex.win32 [1k]
Installing [197/842, time/total: 04:43/09:33]: csplain [93k]
Installing [198/842, time/total: 04:45/09:36]: csplain.win32 [1k]
Installing [199/842, time/total: 04:45/09:36]: csquotes-de [1k]
Installing [200/842, time/total: 04:46/09:38]: cstex [1k]
Installing [201/842, time/total: 04:46/09:38]: ctable [4k]
Installing [202/842, time/total: 04:47/09:40]: ctanify [8k]
Installing [203/842, time/total: 04:47/09:40]: ctanify.win32 [1k]
Installing [204/842, time/total: 04:47/09:40]: ctanupload [5k]
Installing [205/842, time/total: 04:48/09:42]: ctanupload.win32 [1k]
Installing [206/842, time/total: 04:48/09:42]: ctie [1k]
Installing [207/842, time/total: 04:49/09:44]: ctie.win32 [7k]
Installing [208/842, time/total: 04:49/09:44]: cursolatex [1k]
