Année 2011 | Mois 01 | Matricule   0044 | Rang global     79 | Rang dans fichier    79 | Analyseur C : N.ligne     33 | Xml : N.ligne     33 | Différence    0
Année 2011 | Mois 01 | Matricule   0616 | Rang global     80 | Rang dans fichier    80 | Analyseur C : N.ligne     41 | Xml : N.ligne     41 | Différence    0
Année 2011 | Mois 01 | Matricule   1179 | Rang global     81 | Rang dans fichier    81 | Analyseur C : N.ligne     27 | Xml : N.ligne     27 | Différence    0
Année 2011 | Mois 01 | Matricule   1290 | Rang global     82 | Rang dans fichier    82 | Analyseur C : N.ligne     30 | Xml : N.ligne     30 | Différence    0
Année 2011 | Mois 01 | Matricule   1180 | Rang global     83 | Rang dans fichier    83 | Analyseur C : N.ligne     22 | Xml : N.ligne     22 | Différence    0
Année 2011 | Mois 01 | Matricule   1133 | Rang global     84 | Rang dans fichier    84 | Analyseur C : N.ligne     34 | Xml : N.ligne     34 | Différence    0
Année 2011 | Mois 01 | Matricule   1072 | Rang global     85 | Rang dans fichier    85 | Analyseur C : N.ligne     40 | Xml : N.ligne     40 | Différence    0
Année 2011 | Mois 01 | Matricule   0951 | Rang global     86 | Rang dans fichier    86 | Analyseur C : N.ligne     34 | Xml : N.ligne     34 | Différence    0
Année 2011 | Mois 01 | Matricule   1238 | Rang global     87 | Rang dans fichier    87 | Analyseur C : N.ligne     26 | Xml : N.ligne     26 | Différence    0
Année 2011 | Mois 01 | Matricule   1091 | Rang global     88 | Rang dans fichier    88 | Analyseur C : N.ligne     28 | Xml : N.ligne     28 | Différence    0
Année 2011 | Mois 01 | Matricule   1292 | Rang global     89 | Rang dans fichier    89 | Analyseur C : N.ligne     47 | Xml : N.ligne     47 | Différence    0
Année 2011 | Mois 01 | Matricule   1265 | Rang global     90 | Rang dans fichier    90 | Analyseur C : N.ligne     26 | Xml : N.ligne     26 | Différence    0
Année 2011 | Mois 01 | Matricule   0568 | Rang global     91 | Rang dans fichier    91 | Analyseur C : N.ligne     38 | Xml : N.ligne     38 | Différence    0
Année 2011 | Mois 01 | Matricule   0129 | Rang global     92 | Rang dans fichier    92 | Analyseur C : N.ligne     13 | Xml : N.ligne     13 | Différence    0
Année 2011 | Mois 01 | Matricule   1303 | Rang global     93 | Rang dans fichier    93 | Analyseur C : N.ligne     38 | Xml : N.ligne     38 | Différence    0
Année 2011 | Mois 01 | Matricule   1252 | Rang global     94 | Rang dans fichier    94 | Analyseur C : N.ligne     45 | Xml : N.ligne     45 | Différence    0
Année 2011 | Mois 01 | Matricule   0313 | Rang global     95 | Rang dans fichier    95 | Analyseur C : N.ligne     35 | Xml : N.ligne     35 | Différence    0
Année 2011 | Mois 01 | Matricule   0559 | Rang global     96 | Rang dans fichier    96 | Analyseur C : N.ligne     35 | Xml : N.ligne     35 | Différence    0
Année 2011 | Mois 01 | Matricule   1270 | Rang global     97 | Rang dans fichier    97 | Analyseur C : N.ligne     18 | Xml : N.ligne     18 | Différence    0
Année 2011 | Mois 01 | Matricule   1217 | Rang global     98 | Rang dans fichier    98 | Analyseur C : N.ligne     40 | Xml : N.ligne     40 | Différence    0
Année 2011 | Mois 01 | Matricule   1263 | Rang global     99 | Rang dans fichier    99 | Analyseur C : N.ligne     36 | Xml : N.ligne     36 | Différence    0
Année 2011 | Mois 01 | Matricule   1199 | Rang global    100 | Rang dans fichier   100 | Analyseur C : N.ligne     10 | Xml : N.ligne     10 | Différence    0
Année 2011 | Mois 01 | Matricule   0966 | Rang global    101 | Rang dans fichier   101 | Analyseur C : N.ligne     31 | Xml : N.ligne     31 | Différence    0
Année 2011 | Mois 01 | Matricule   0720 | Rang global    102 | Rang dans fichier   102 | Analyseur C : N.ligne     35 | Xml : N.ligne     35 | Différence    0
Année 2011 | Mois 01 | Matricule   1099 | Rang global    103 | Rang dans fichier   103 | Analyseur C : N.ligne     33 | Xml : N.ligne     33 | Différence    0
Année 2011 | Mois 01 | Matricule   0058 | Rang global    104 | Rang dans fichier   104 | Analyseur C : N.ligne     41 | Xml : N.ligne     41 | Différence    0
Année 2011 | Mois 01 | Matricule   1140 | Rang global    105 | Rang dans fichier   105 | Analyseur C : N.ligne     38 | Xml : N.ligne     38 | Différence    0
Année 2011 | Mois 01 | Matricule   0506 | Rang global    106 | Rang dans fichier   106 | Analyseur C : N.ligne     37 | Xml : N.ligne     37 | Différence    0
Année 2011 | Mois 01 | Matricule   1052 | Rang global    107 | Rang dans fichier   107 | Analyseur C : N.ligne     24 | Xml : N.ligne     24 | Différence    0
Année 2011 | Mois 01 | Matricule   0748 | Rang global    108 | Rang dans fichier   108 | Analyseur C : N.ligne     40 | Xml : N.ligne     40 | Différence    0
Année 2011 | Mois 01 | Matricule   1239 | Rang global    109 | Rang dans fichier   109 | Analyseur C : N.ligne      4 | Xml : N.ligne      4 | Différence    0
Année 2011 | Mois 01 | Matricule   1153 | Rang global    110 | Rang dans fichier   110 | Analyseur C : N.ligne     26 | Xml : N.ligne     26 | Différence    0
Année 2011 | Mois 01 | Matricule   0580 | Rang global    111 | Rang dans fichier   111 | Analyseur C : N.ligne     25 | Xml : N.ligne     25 | Différence    0
Année 2011 | Mois 01 | Matricule   1002 | Rang global    112 | Rang dans fichier   112 | Analyseur C : N.ligne     32 | Xml : N.ligne     32 | Différence    0
Année 2011 | Mois 01 | Matricule   1254 | Rang global    113 | Rang dans fichier   113 | Analyseur C : N.ligne      8 | Xml : N.ligne      8 | Différence    0
Année 2011 | Mois 01 | Matricule   1053 | Rang global    114 | Rang dans fichier   114 | Analyseur C : N.ligne     42 | Xml : N.ligne     42 | Différence    0
Année 2011 | Mois 01 | Matricule   0680 | Rang global    115 | Rang dans fichier   115 | Analyseur C : N.ligne     35 | Xml : N.ligne     35 | Différence    0
Année 2011 | Mois 01 | Matricule   1201 | Rang global    116 | Rang dans fichier   116 | Analyseur C : N.ligne     10 | Xml : N.ligne     10 | Différence    0
Année 2011 | Mois 01 | Matricule   1298 | Rang global    117 | Rang dans fichier   117 | Analyseur C : N.ligne     45 | Xml : N.ligne     45 | Différence    0
Année 2011 | Mois 01 | Matricule   0476 | Rang global    118 | Rang dans fichier   118 | Analyseur C : N.ligne     39 | Xml : N.ligne     39 | Différence    0
Année 2011 | Mois 01 | Matricule   0670 | Rang global    119 | Rang dans fichier   119 | Analyseur C : N.ligne     23 | Xml : N.ligne     23 | Différence    0
Année 2011 | Mois 01 | Matricule   0813 | Rang global    120 | Rang dans fichier   120 | Analyseur C : N.ligne     22 | Xml : N.ligne     22 | Différence    0
Année 2011 | Mois 01 | Matricule   0884 | Rang global    121 | Rang dans fichier   121 | Analyseur C : N.ligne     36 | Xml : N.ligne     36 | Différence    0
Année 2011 | Mois 01 | Matricule   1029 | Rang global    122 | Rang dans fichier   122 | Analyseur C : N.ligne     44 | Xml : N.ligne     44 | Différence    0
Année 2011 | Mois 01 | Matricule   1182 | Rang global    123 | Rang dans fichier   123 | Analyseur C : N.ligne     34 | Xml : N.ligne     34 | Différence    0
Année 2011 | Mois 01 | Matricule   1142 | Rang global    124 | Rang dans fichier   124 | Analyseur C : N.ligne     32 | Xml : N.ligne     32 | Différence    0
Année 2011 | Mois 01 | Matricule   1215 | Rang global    125 | Rang dans fichier   125 | Analyseur C : N.ligne     57 | Xml : N.ligne     57 | Différence    0
Année 2011 | Mois 01 | Matricule   1234 | Rang global    126 | Rang dans fichier   126 | Analyseur C : N.ligne     24 | Xml : N.ligne     24 | Différence    0
Année 2011 | Mois 01 | Matricule   1066 | Rang global    127 | Rang dans fichier   127 | Analyseur C : N.ligne     23 | Xml : N.ligne     23 | Différence    0
Année 2011 | Mois 01 | Matricule   0068 | Rang global    128 | Rang dans fichier   128 | Analyseur C : N.ligne     26 | Xml : N.ligne     26 | Différence    0
Année 2011 | Mois 01 | Matricule   1299 | Rang global    129 | Rang dans fichier   129 | Analyseur C : N.ligne     43 | Xml : N.ligne     43 | Différence    0
Année 2011 | Mois 01 | Matricule   0050 | Rang global    130 | Rang dans fichier   130 | Analyseur C : N.ligne     26 | Xml : N.ligne     26 | Différence    0
Année 2011 | Mois 01 | Matricule   0525 | Rang global    131 | Rang dans fichier   131 | Analyseur C : N.ligne     37 | Xml : N.ligne     37 | Différence    0
Année 2011 | Mois 01 | Matricule   1208 | Rang global    132 | Rang dans fichier   132 | Analyseur C : N.ligne     38 | Xml : N.ligne     38 | Différence    0
Année 2011 | Mois 01 | Matricule   1214 | Rang global    133 | Rang dans fichier   133 | Analyseur C : N.ligne     18 | Xml : N.ligne     18 | Différence    0
Année 2011 | Mois 01 | Matricule   1088 | Rang global    134 | Rang dans fichier   134 | Analyseur C : N.ligne     25 | Xml : N.ligne     25 | Différence    0
